downtown-squamish,squamish-east-van,datetime,east_van-squamish,squamish-downtown
3742,3548,2019-11-29 20:35:00.553930,4016,3573
3715,4979,2020-02-21 22:45:00.478605,3785,4203
3715,3564,2020-01-05 20:05:00.856966,3622,3618
3577,3444,2019-12-10 18:05:00.502737,3925,3456
3854,4089,2020-01-13 15:35:00.651082,4473,3973
3381,3252,2020-04-12 16:55:00.629277,3446,3168
3382,3289,2020-04-06 09:45:00.542898,3494,3156
3934,4614,2019-12-30 22:15:00.538125,3779,3893
3321,3318,2020-02-23 10:45:00.679621,3427,3050
3265,3378,2020-02-11 07:25:00.805945,3348,3153
3681,3396,2020-01-08 21:05:00.570631,3529,3392
3424,3227,2020-03-26 13:05:00.488149,3530,3118
3536,3729,2020-03-01 02:45:00.712693,3523,3526
3313,3280,2020-01-05 12:45:00.519654,3420,3087
3391,3199,2020-02-14 13:55:00.829749,3985,3004
3443,3386,2020-03-25 15:05:00.739274,3493,3443
3259,3306,2020-01-05 09:35:00.466817,3461,3057
3308,3346,2019-10-22 03:55:00.612256,3423,3276
3820,3724,2019-10-22 15:05:00.587423,4339,3744
3397,3484,2020-01-03 09:55:00.551561,3492,3290
3304,3366,2019-12-25 11:05:00.686116,3413,3272
3336,3335,2020-03-14 05:45:00.401141,3425,3155
3307,3267,2020-01-01 13:25:00.679224,3406,3066
3649,5674,2019-11-08 02:35:00.557625,4002,3790
3358,3260,2020-01-05 15:55:00.591819,3390,3088
3856,3616,2019-10-26 20:55:00.684040,4137,3792
3642,3421,2020-03-06 02:25:00.803620,3818,3331
3663,3509,2019-11-09 22:05:00.577712,3924,3777
3841,3847,2019-12-25 22:35:00.644112,3545,3902
3289,3158,2019-12-04 13:45:00.409054,3461,3020
3516,3428,2019-12-28 03:05:00.587063,3507,3349
3249,3350,2019-10-18 07:35:00.648422,3397,3121
3553,3442,2020-03-19 18:25:00.577835,3614,3360
3372,3160,2019-12-19 14:05:00.646463,3491,2994
3919,5075,2019-12-19 22:35:00.613743,3801,4301
3381,3530,2019-12-19 05:55:00.449112,3498,3297
3627,3527,2020-01-01 02:15:00.948091,3654,3418
3282,3329,2020-03-02 06:15:00.428490,3402,3137
3231,3348,2019-10-18 06:25:00.635318,3338,3172
3165,3323,2020-04-06 07:05:00.398301,3295,3096
3514,3497,2019-11-24 06:35:00.640686,3560,3376
3299,3405,2020-03-11 05:25:00.851189,3418,3201
3435,3498,2020-04-06 20:25:00.416108,3476,3496
3416,3350,2020-03-01 04:45:00.563486,3428,3179
3343,3354,2019-12-08 10:35:00.633305,3481,3191
3365,3396,2019-11-11 05:25:00.570948,3376,3269
3659,3437,2020-01-19 19:45:00.517523,3602,3586
3222,3381,2020-04-02 05:25:00.990049,3339,3214
3634,3384,2020-03-11 16:55:00.766055,3687,3377
3263,3429,2020-02-03 08:35:00.663468,3395,3178
3522,3704,2020-02-18 15:15:00.499840,3730,3522
3427,3455,2020-03-11 04:25:00.497406,3508,3266
3508,4222,2020-01-06 23:05:00.620744,3527,4223
3323,3367,2020-02-26 07:25:00.570431,3422,3147
3329,3381,2019-12-13 11:35:00.747197,3446,3153
3279,3325,2019-12-11 08:55:00.554502,3448,3085
3782,3508,2020-02-06 19:05:00.700326,3803,3603
3403,3334,2020-01-28 11:05:00.546030,3538,3142
3276,3301,2020-03-08 07:15:00.692078,3423,3120
3430,3361,2019-12-14 04:55:00.672179,3429,3217
3657,3658,2020-02-05 17:35:00.591388,3716,3575
3582,3354,2019-11-30 17:55:00.715954,3597,3489
3560,3450,2020-01-13 13:35:00.838632,3783,3093
3685,3885,2020-02-18 15:35:00.764977,3751,3978
3650,3416,2020-01-11 19:45:00.389751,3578,3497
3238,3322,2019-11-21 07:25:00.482976,3323,3144
3636,3465,2020-02-11 20:55:00.439339,3612,3451
3324,3351,2020-02-26 07:45:00.573748,3425,3161
3837,3673,2019-11-07 16:25:00.495731,4074,3554
3285,3360,2020-04-01 05:15:00.684100,3416,3199
3496,3938,2020-02-25 23:55:01.059881,3618,3952
3311,3309,2020-03-07 11:45:00.427180,3470,3103
3358,3417,2020-02-14 04:55:00.534842,3420,3226
3399,3283,2019-10-30 10:35:01.233581,3559,3173
3670,3442,2020-02-18 18:15:00.746213,3736,3477
3302,3344,2020-04-11 08:55:00.643268,3403,3143
3340,3422,2020-02-08 07:55:00.594215,3435,3195
3313,3218,2019-10-27 14:45:00.558770,3350,3120
3686,3398,2020-03-06 18:35:00.423097,3919,3534
3498,3118,2020-02-20 13:15:00.654398,3591,2975
3700,3800,2020-02-02 00:45:00.519907,3737,4007
3542,3591,2020-01-19 06:35:00.787664,3485,3378
3488,3218,2020-02-14 13:25:00.495477,3739,3021
3340,3330,2020-01-30 05:15:00.389142,3439,3155
3415,3379,2020-03-07 03:55:00.437917,3454,3297
3788,3585,2019-11-09 20:05:00.466741,3752,3814
